x,y,data
0.0,2.9323002339978377,0
0.05,0.8234261588299865,-4.02625439764032*u_x
0.1,0.3663421680759866,0.493491307019347*u**2 - 0.461572065873419*u
0.15,0.20030758979738508,6.10732514369031*u**2*u_x + 0.597655757457876*u**2 - 0.579708543166228*u
0.2,4.412264302314106e-05,-1.00825304235675*u**3 + 1.91197907720998*u**2 - 0.903843172700869*u + 10.3540837933683*u_xx
0.25,9.036216666032452e-06,-1.0029908017627*u**3 + 1.90412649428831*u**2 - 0.901272418136458*u + 37.5667312918843*u_x*u_xx + 9.4270439158532*u_xx
0.3,8.007816285074148e-06,-1.00287883115703*u**3 + 1.90376164131706*u**2 + 82.5100743234686*u*u_x*u_xx - 0.90101505086035*u + 242.346115909425*u_xx**2 + 9.39016420734836*u_xx
0.35,5.338188970049021e-06,-1.00521492158252*u**3 - 0.12004267054402*u**2*u_x + 1.90759612679196*u**2 + 0.0682251884123376*u*u_x - 0.902446385787023*u + 35.5230532878811*u_x*u_xx + 9.39901415985738*u_xx
0.4,8.239779607602062e-07,-1.01417429595332*u**3 - 0.574153742804647*u**2*u_x + 1.91942092693658*u**2 + 0.247405151661933*u*u_x - 1.76124766738909*u*u_xx - 0.905221853014705*u + 39.0999259450583*u_x*u_xx + 9.57361537760355*u_xx
0.45,6.388468841292633e-07,-1.01296504162986*u**3 - 0.56754042089594*u**2*u_x + 1.91835601023005*u**2 - 0.727230356724602*u*u_x**2 + 0.280643854971984*u*u_x - 1.58309457945561*u*u_xx - 0.905367248713439*u + 36.9092366750448*u_x*u_xx + 9.57992437049695*u_xx
0.5,5.729785027030484e-07,-1.00683675387454*u**3 - 0.569219951739027*u**2*u_x - 1.5724828730652*u**2*u_xx + 1.90965458007583*u**2 + 0.466087923257653*u*u_x - 0.902802857975221*u - 0.399186333230919*u_x**2 + 29.0774684762206*u_x*u_xx - 0.080648649365219*u_x + 9.97455479999103*u_xx
0.55,4.684920521026324e-07,-1.00935274949458*u**3 - 0.662430255587528*u**2*u_x - 1.18560906612445*u**2*u_xx + 1.91509709048218*u**2 + 0.485252561433388*u*u_x - 0.90572480287288*u + 44.7933438827891*u_x**3 - 3.62847372057721*u_x**2 + 32.6745477121307*u_x*u_xx + 53.571213003425*u_xx**2 + 9.60187357548702*u_xx
0.6,3.6845299151465605e-07,-1.01036805724337*u**3 - 0.721784071532808*u**2*u_x + 2.05992167151686*u**2*u_xx + 1.91658783642523*u**2 - 9.65844309306889*u*u_x**2 + 0.539488748469178*u*u_x - 3.39751118364151*u*u_xx - 0.906208612491357*u + 57.5985801250391*u_x**3 + 2047.18769758818*u_x*u_xx**2 + 24.221571410238*u_x*u_xx + 9.73784312253577*u_xx
0.65,1.9343634691018804e-07,-1.00862771271513*u**3 - 0.792300298024588*u**2*u_x + 3.42161114189839*u**2*u_xx + 1.91505516025755*u**2 - 15.0204773018157*u*u_x**2 - 50.9867515158651*u*u_x*u_xx + 0.672043708480314*u*u_x - 34.6905690045369*u*u_xx**2 - 4.19848292579947*u*u_xx - 0.906407475654513*u + 95.5922802547399*u_x**3 + 40.3486401951606*u_x*u_xx + 9.64540077299773*u_xx
0.7,1.688570984650077e-07,-1.01179499253059*u**3 - 0.775050056426288*u**2*u_x + 1.91862209755639*u**2 - 10.672121891966*u*u_x**2 - 76.326966541339*u*u_x*u_xx + 0.570337996253801*u*u_x - 346.816856143462*u*u_xx**2 - 1.30509842910297*u*u_xx - 0.906810244976463*u + 67.7387827617774*u_x**3 + 630.397707178989*u_x**2*u_xx + 1279.47316158426*u_x*u_xx**2 + 18.9422651858406*u_x*u_xx + 9.68812122235356*u_xx
0.8,1.2434920626666458e-07,-1.01036712421567*u**3 - 0.859557860476485*u**2*u_x + 7.22019376009587*u**2*u_xx + 1.91808994890275*u**2 - 27.0058655166122*u*u_x**2 - 77.7543756564886*u*u_x*u_xx + 0.725207193554598*u*u_x - 7.72632633831418*u*u_xx - 0.907710411311671*u + 126.587588024619*u_x**3 + 3.54812992937124*u_x**2 + 39.8390670205588*u_x*u_xx + 0.0235886892329855*u_x + 8435.28529051049*u_xx**3 - 48.1467188412555*u_xx**2 + 9.5907754838762*u_xx
