Complexity,CV_MAE,Expression
0.0,0.02992072,0
1.0,0.016563563781120606,-4.04239366878262*u_x
2.0,0.014238618326240637,-4.05393432158216*u_x - 16.5231963792615*u_xx
3.0,0.012172218384462166,5.74763746260607*u*u_x - 6.80701132443493*u_x
4.0,0.010815002740953915,0.453777039310052*u**2 - 0.433386440551802*u - 16.1511386652119*u_xx
5.0,0.004193049651376942,-0.365149458465565*u**4 + 1.05388646669642*u**2 - 0.688158646957545*u
6.0,0.003636615368461635,-0.881850230978038*u**3 + 1.7209435185508*u**2 - 0.837484388824671*u + 8.89035230350701*u_xx
7.0,0.003439442490436293,-0.8616789096817*u**3 + 1.68479453985802*u**2 - 0.818870491382493*u + 9.09129246430489*u_xx - 0.00231633990351021
8.0,0.0033985582098895865,-0.86082276493346*u**3 + 1.64338283506603*u**2 - 0.778860630292952*u - 0.458217845298993*u_x + 9.39087849695297*u_xx - 0.0023122014143418
9.0,0.003393570901292131,-0.85682843733552*u**3 + 1.65916356797319*u**2 - 0.798485602307314*u - 9.11616657423979*u_x**2 + 9.01774363359938*u_xx - 0.0025992675095429
10.0,0.003270327236622146,-0.816147417145486*u**3 + 1.59918454563412*u**2 - 0.78030239438415*u - 9.20666960112327*u_x**2 + 371.598971544121*u_x*u_xx - 0.00185359123428009
11.0,0.003261376587431598,-0.836816517754464*u**3 + 1.60927384356167*u**2 - 0.769328044097668*u + 7123.83459333565*u_x**2*u_xx - 0.444678586681348*u_x + 5.25607171861728*u_xx - 0.00190234045869413
12.0,0.003253269466734547,-0.815463948607936*u**3 + 0.0167648334394475*u**2*u_x + 1.57848960243683*u**2 - 0.760415374411178*u + 381.269610205168*u_x*u_xx - 0.442651114719071*u_x - 0.00154200445478954
13.0,0.003025473927480565,-0.362986861748675*u**4 + 212.100507335742*u**2*u_xx + 1.0373851427947*u**2 - 190.946718459944*u*u_xx - 0.669260741916553*u + 1436.39305208792*u_x*u_xx - 0.00277728110878103
14.0,0.002980947637086004,-0.654189670659391*u**3 + 222.769954701513*u**2*u_xx + 1.3379891992625*u**2 - 214.069641445566*u*u_xx - 0.677276227981948*u + 1718.67892841673*u_x*u_xx - 0.553799078794816*u_x - 0.00211574288084542
15.0,0.0029276749231148696,-0.333544569075041*u**4 + 241.271086898522*u**2*u_xx + 0.957063883608958*u**2 - 223.357116672303*u*u_xx - 0.618270983099176*u + 1753.10060174312*u_x*u_xx - 0.382590723574356*u_x - 2.10435668050245*u_xx - 0.0027511600906846
16.0,0.00284681187388459,-0.32636461353758*u**4 + 245.771368087113*u**2*u_xx + 0.910930999530769*u**2 - 234.883218283547*u*u_xx - 0.579416798791071*u + 18.9165643951131*u_x**2 + 1831.73994800935*u_x*u_xx - 1.25348883240105*u_x - 0.00247923339706495
17.0,0.0028378397775126237,-0.653678347062068*u**3 + 230.542101461821*u**2*u_xx + 1.26193493626579*u**2 - 239.457365619244*u*u_xx - 0.601712983000725*u + 39.9494375829973*u_x**2 + 1711.98607681991*u_x*u_xx - 2.44857710394273*u_x + 10.2789517078148*u_xx - 0.00212267146941048
18.0,0.002663667578628214,234.647997575994*u**3*u_xx + 0.18199290187381*u**3 - 863.917644837533*u**2*u_x**2 + 27.9288854542511*u*u_x - 263.879399852641*u*u_xx - 0.181715579780182*u + 250.702477321816*u_x**2 - 16.3462068576655*u_x + 88.3301988414459*u_xx
19.0,0.002530806706584057,346.455882847792*u**2*u_xx + 0.263856601692769*u**2 - 837.696315874314*u*u_x**2 + 23.0862277885444*u*u_x - 362.161776739965*u*u_xx - 0.263081337128539*u + 449.210813834544*u_x**2 - 93.1431004230287*u_x*u_xx - 14.1274705527977*u_x + 70.6974768374041*u_xx
20.0,0.002504057224246895,-0.226491061342594*u**4 + 0.455614149450499*u**3 + 362.127939238707*u**2*u_xx - 829.747262341507*u*u_x**2 + 23.0203007767603*u*u_x - 368.485630719845*u*u_xx - 0.228625352184207*u + 439.037105178534*u_x**2 - 13.6705894845779*u_x + 66.8603382264699*u_xx - 0.000831577933858065
21.0,0.0024995743390228017,244.583316374194*u**3*u_xx - 472.947404198374*u**2*u_x**2 + 0.261571757741731*u**2 - 381.092790921426*u*u_x**2 + 23.0956358072787*u*u_x - 255.407061463063*u*u_xx - 0.260397973144679*u + 341.461022887021*u_x**2 - 14.2394760445245*u_x + 70.2999131290169*u_xx
22.0,0.0024598696624111463,-0.165625990472621*u**4 + 0.380390685210709*u**3 + 362.132125285518*u**2*u_xx - 932.931021606516*u*u_x**2 + 25.3017180506782*u*u_x - 371.526440047785*u*u_xx - 0.21561565140434*u - 7949.78735443536*u_x**2*u_xx + 489.75793078642*u_x**2 - 14.8897242179442*u_x + 71.323159914273*u_xx
23.0,0.0022944427799570593,-1.34457427159877*u**4 - 21.1242360723453*u**3*u_x + 2.72022565573745*u**3 + 297.611462091466*u**2*u_xx - 1.3735023825084*u**2 - 861.587722435814*u*u_x**2 + 41.7291690111652*u*u_x - 363.369834575998*u*u_xx + 427.168680413156*u_x**2 - 18.8835588756798*u_x + 89.1293385566822*u_xx
26.0,0.0021758672091755707,-1.69507311084466*u**4 + 202.571147157887*u**3*u_xx + 3.28681937018191*u**3 - 41.882910346384*u**2*u_x - 1.59104161144248*u**2 - 737.890054901187*u*u_x**2 + 63.2267281287157*u*u_x - 267.423498276432*u*u_xx + 353.702908382553*u_x**2 - 154.68614392093*u_x*u_xx - 21.3555084904817*u_x + 97.3893041195908*u_xx + 0.000943284106402195
27.0,0.0020380757331103392,-2.1667720455787*u**4 + 4.58877462898355*u**3 - 51.7872561391687*u**2*u_x + 384.100716205878*u**2*u_xx - 2.7040660609832*u**2 - 1027.31652850446*u*u_x**2 + 83.2133778791759*u*u_x - 489.827810867524*u*u_xx + 0.28075510690517*u + 491.413718528446*u_x**2 - 378.826645010178*u_x*u_xx - 28.4327028700923*u_x + 139.248786057193*u_xx + 0.000983802921070416
28.0,0.001981417411663768,-3.03741257680034*u**4 - 53.834661172531*u**3*u_x + 169.11403678026*u**3*u_xx + 6.52354847971269*u**3 - 4.04261112545392*u**2 - 1448.30156628594*u*u_x**2 + 84.6755917661228*u*u_x - 318.219927923745*u*u_xx + 0.557337494172057*u - 36261.5412645453*u_x**2*u_xx + 674.854090648833*u_x**2 - 34.4316351796829*u_x + 145.800604649094*u_xx + 0.00275277133328568
30.0,0.0019057670264147199,-2.36638731044168*u**4 + 5.09613742714091*u**3 - 57.4115622865468*u**2*u_x + 414.421703400339*u**2*u_xx - 3.10441274508999*u**2 - 1051.66944115824*u*u_x**2 + 91.1631358120665*u*u_x - 530.888370162971*u*u_xx + 0.372302498623182*u - 26658.501915202*u_x**2*u_xx + 498.730584712948*u_x**2 + 828.114054922937*u_x*u_xx - 30.734864397833*u_x + 141.069467240876*u_xx + 0.00174684146913159
34.0,0.0019008831840410941,-2.4371906622439*u**4 + 123.474163258965*u**3*u_xx + 5.28649919941916*u**3 - 60.021268082114*u**2*u_x + 245.933143933499*u**2*u_xx - 3.27305717218146*u**2 - 1203.37541535866*u*u_x**2 + 283.087070190498*u*u_x*u_xx + 96.4830738627483*u*u_x - 484.849028216048*u*u_xx + 0.421053677633491*u - 20235.204757461*u_x**2*u_xx + 573.719663644751*u_x**2 - 32.9174996908991*u_x + 152.156501963333*u_xx + 0.002175983390276
35.0,0.001884825356654128,-2.99107964813428*u**4 - 50.7507655334708*u**3*u_x + 6.61783792642972*u**3 + 296.841598445461*u**2*u_xx - 4.27874021238645*u**2 + 51938.2927774047*u*u_x**2*u_xx - 1721.39944913189*u*u_x**2 - 2223.24761220315*u*u_x*u_xx + 88.9024469896986*u*u_x - 436.233564687934*u*u_xx + 0.650854528317843*u - 49147.7841217989*u_x**2*u_xx + 814.826107787693*u_x**2 - 37.1715595918958*u_x + 162.209983981365*u_xx + 0.00280306247186034
36.0,0.0018457135567824289,-2.67536096668668*u**4 + 5.7773474494187*u**3 + 611.919198099586*u**2*u_x**2 - 67.9837876433078*u**2*u_x + 431.812643066075*u**2*u_xx - 3.59534527290538*u**2 + 41724.6097987166*u*u_x**2*u_xx - 1803.12816917646*u*u_x**2 + 104.552642242882*u*u_x - 559.959528016367*u*u_xx + 0.491207946598705*u - 37827.0905314304*u_x**2*u_xx + 726.642856012397*u_x**2 - 35.185159689929*u_x + 159.989035070346*u_xx + 0.00261840116150812
37.0,0.0018188006401974308,-2.63164079541309*u**4 + 5.6656901774146*u**3 - 63.0487179117066*u**2*u_x + 420.005727095872*u**2*u_xx - 3.49378036951666*u**2 + 62094.4973544318*u*u_x**2*u_xx - 1137.24388786449*u*u_x**2 - 2529.71893477428*u*u_x*u_xx + 98.7792635979383*u*u_x - 527.528204806809*u*u_xx + 0.456958507480375*u - 51305.8307811004*u_x**2*u_xx + 541.72520144152*u_x**2 + 1578.35628555065*u_x*u_xx - 33.1850503890361*u_x + 145.08092926481*u_xx + 0.00247608128005501
