Complexity,CV_MAE,Expression
0.0,0.01255223,0
1.0,0.003884548168788501,-0.400801565626578*u_x
2.0,0.002838266145767037,-0.246964698592281*u*u_y - 0.424625670296283*u_x
3.0,0.0024643292281325392,-0.427621077500895*u_x - 0.198900863504297*u_xy*u_yy - 0.153337839887474*u_y
4.0,0.0024533346351057585,-0.38446140503877*u**2*u_x*u_y - 3.90367896386113*u_x**2*u_xy - 0.42708843293976*u_x - 0.159368933705483*u_y
6.0,0.002449487721349424,-0.259036319202626*u*u_x*u_y - 896.665683044491*u_x**2*u_xx*u_yy - 415.753594569713*u_x*u_xx*u_y*u_yy - 0.429078377322345*u_x - 0.742477436281247*u_xy*u_yy - 0.157886079663136*u_y
9.0,0.0024469559332701268,-4.13440577014175*u**2*u_xx*u_y - 13.0749732456993*u*u_x**2*u_xy - 85.6578637986426*u*u_x*u_xx*u_xy - 0.908130417051318*u*u_x*u_xx - 0.27265189618786*u*u_x*u_y + 0.312491373736007*u*u_xx*u_y - 0.0299695054009013*u*u_xx - 0.428840285275573*u_x - 0.158916316064923*u_y
10.0,0.002433219506629317,-0.209583427883631*u**2*u_x*u_yy - 0.0169806647688331*u**2 - 12.6890266269919*u*u_x*u_xx*u_y - 5.09995572145405*u*u_xx*u_y**2 + 0.0169711807809691*u + 46.3821354547643*u_x**2*u_xy*u_yy + 0.272845712391975*u_x*u_yy - 0.385998947170807*u_x - 0.364389660851634*u_y**2*u_yy - 0.139294079023804*u_y
25.0,0.002430446467373416,-0.0152735929374635*u**4 - 0.141557395920175*u**3*u_xx + 0.0483564716520145*u**3 + 2.95003179406548*u**2*u_xy*u_yy - 0.028985918840776*u**2*u_y*u_yy - 0.0686907040560814*u**2 - 19.0200958891021*u*u_x**2*u_y - 1.54362472529836*u*u_x*u_xx - 94.7653535495559*u*u_xx*u_xy*u_y - 0.380735912478333*u*u_xy*u_yy + 0.121060710726071*u*u_xy - 0.203078300809126*u*u_y**2*u_yy + 0.0220213565263279*u*u_y + 0.0356224995232409*u + 2.08161749486686*u_x**2*u_y**2 + 12.0051885633842*u_x**2*u_y + 0.464194124967613*u_x**2*u_yy - 80.9360907848171*u_x*u_xx*u_xy + 92.5520137433292*u_x*u_xx*u_y**2 + 3.52287918757965*u_x*u_y**2 - 0.377952086978462*u_x - 664.128459893315*u_xx*u_xy*u_y**2 + 4.71735083865475*u_xx*u_xy - 283.298741383027*u_xx*u_y**2*u_yy - 0.129779582834605*u_y
27.0,0.002427851087043787,-0.00239990423534148*u**3*u_x - 0.00581110765837694*u**3 - 1.9815382072742*u**2*u_x*u_y - 0.276241308851408*u**2*u_xy*u_yy + 0.886726708099176*u**2*u_y*u_yy - 12.7451866819886*u*u_x**2*u_y - 518.143780058091*u*u_x*u_xx*u_xy - 163.452349713175*u*u_x*u_xx*u_yy + 74.1839747675437*u*u_x*u_xy*u_y - 158.084868288945*u*u_xx*u_xy*u_y - 1.10584235021053*u*u_xx*u_y**2 - 4.59792923907039*u*u_xx*u_y - 2.32382783045478*u*u_xy*u_y - 0.0210662908411267*u*u_y + 0.00585443184487286*u - 1013.73785927851*u_x**2*u_xx*u_xy + 25.2339998407372*u_x*u_xx*u_xy + 20.1638025916383*u_x*u_xx*u_y - 16.2601005808158*u_x*u_xy*u_y**2 - 141.235878346569*u_x*u_xy*u_y*u_yy + 5.70439732852692*u_x*u_y*u_yy + 1.60026042485729*u_x*u_yy - 0.413987918065645*u_x + 1.42997823491614*u_xx*u_xy - 0.472481163222547*u_xy*u_yy - 0.114950419199427*u_y + 0.050099647590021*u_yy
32.0,0.0024072621131699928,0.0821755148823022*u**4 - 10.2776332748746*u**3*u_xx + 0.20599145295313*u**3*u_xy - 0.206835354277202*u**3*u_y - 0.151769374317574*u**3 + 12.3915050973954*u**2*u_x*u_xy + 19.7560132522249*u**2*u_xx*u_xy + 10.1627398871484*u**2*u_xx - 252.139858148528*u*u_x*u_xx*u_xy + 147.429599980042*u*u_x*u_xx*u_y + 26.9787480450975*u*u_x*u_xx + 117.227266169565*u*u_x*u_xy*u_y + 4.00190566187285*u*u_x*u_yy + 18.2627390345611*u*u_xx*u_y**2 + 60.3326189942975*u*u_xy*u_y**2 - 1.23919439264506*u*u_y**2 + 0.0180692225684793*u*u_yy + 0.0696727706033129*u + 3256.96180613004*u_x**2*u_xx*u_xy + 44.1960074007241*u_x**2*u_y**2 + 2582.60001502997*u_x*u_xx*u_xy*u_y + 234.366508607044*u_x*u_xx*u_xy - 199.283539957781*u_x*u_xx*u_y**2 + 449.999324631157*u_x*u_xx*u_y*u_yy - 19.768608646399*u_x*u_xy*u_yy + 1.96392042949733*u_x*u_xy - 81.0484152338297*u_x*u_y**2*u_yy + 5.91262427437391*u_x*u_y**2 - 0.244124270056237*u_x + 0.185125182391814*u_xx + 4.51306833902981*u_xy*u_y + 0.319113362374636*u_xy
